id,type,X,Y,Z,u,v,w,nw,pw,mass,rho,energy,fx,fy,fz,sxx,syy,szz,sxy,sxz,syz,exx,eyy,ezz,exy,exz,eyz,nx,ny,nz,bc,young,poisson,phi,cohesion,psi,h_mod
65,1,0.15,1.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-42144.1,-71492.5,-42133.3,30.3389,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
66,1,0.15,1.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-41027.7,-69478.5,-41017.6,31.1076,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
67,1,0.15,1.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-39894.6,-67464.2,-39885,31.7432,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
68,1,0.15,1.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-38748.3,-65449.8,-38738.8,32.2464,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
69,1,0.15,1.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-37591.4,-63435.3,-37582,32.6166,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
70,1,0.15,1.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-36426.5,-61420.6,-36416.9,32.8558,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
71,1,0.15,2.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-35255.1,-59405.8,-35245.2,32.9677,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
72,1,0.15,2.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-34078.7,-57391,-34068.5,32.9531,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
73,1,0.15,2.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-32898.5,-55376.1,-32887.9,32.8148,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
74,1,0.15,2.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-31715.2,-53361.1,-31704.1,32.5554,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
75,1,0.15,2.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-30529.4,-51346.1,-30517.9,32.1772,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
76,1,0.15,2.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-29341.6,-49331.2,-29329.8,31.6822,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
77,1,0.15,2.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-28152.1,-47316.2,-28140,31.0709,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
78,1,0.15,2.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-26961.3,-45301.2,-26949,30.3445,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
79,1,0.15,2.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-25769.3,-43286.3,-25757,29.5035,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
80,1,0.15,2.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-24576.3,-41271.5,-24564,28.5485,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
81,1,0.15,3.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-23382.4,-39256.7,-23370.4,27.4856,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
82,1,0.15,3.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-22187.8,-37242.1,-22176.2,26.3244,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
83,1,0.15,3.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-20992.6,-35227.7,-20981.6,25.0838,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
84,1,0.15,3.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-19796.9,-33213.5,-19786.7,23.7858,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
85,1,0.15,3.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-18600.9,-31199.5,-18591.6,22.459,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
86,1,0.15,3.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-17404.6,-29185.7,-17396.4,21.122,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
87,1,0.15,3.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-16208.4,-27172.3,-16201.4,19.8065,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
88,1,0.15,3.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-15012.1,-25158.9,-15006.6,18.5094,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
89,1,0.15,3.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-13816.4,-23146.1,-13812.3,17.2725,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
90,1,0.15,3.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-12620.9,-21132.9,-12618.3,16.0377,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
91,1,0.15,4.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-11426.7,-19121.2,-11425.5,14.8925,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
92,1,0.15,4.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-10232.6,-17107.7,-10232.8,13.6321,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
93,1,0.15,4.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-9041.38,-15098.1,-9042.9,12.5653,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
